,Date,Data,Artist,Title,Rank,Note
0,1980-01-05,"[""Please Don't Go"", 'KC And The Sunshine Band']",KC And The Sunshine Band,Please Don't Go,1,0
1,1980-01-05,"['Escape (The Pina Colada Song)', 'Rupert Holmes']",Rupert Holmes,Escape (The Pina Colada Song),2,0
2,1980-01-05,"['Rock With You', 'Michael Jackson']",Michael Jackson,Rock With You,3,0
3,1980-01-05,"['Send One Your Love', 'Stevie Wonder']",Stevie Wonder,Send One Your Love,4,0
4,1980-01-05,"['Do That To Me One More Time', 'Captain & Tennille']",Captain & Tennille,Do That To Me One More Time,5,0
5,1980-01-05,"['Babe', 'Styx']",Styx,Babe,6,0
6,1980-01-05,"['Still', 'Commodores']",Commodores,Still,7,0
7,1980-01-05,"['Coward Of The County', 'Kenny Rogers']",Kenny Rogers,Coward Of The County,8,0
8,1980-01-05,"['Ladies Night', 'Kool & The Gang']",Kool & The Gang,Ladies Night,9,0
9,1980-01-05,"[""We Don't Talk Anymore"", 'Cliff Richard']",Cliff Richard,We Don't Talk Anymore,10,0
10,1980-01-05,"['Cool Change', 'Little River Band']",Little River Band,Cool Change,11,0
11,1980-01-05,"[""Cruisin'"", 'Smokey Robinson']",Smokey Robinson,Cruisin',12,0
12,1980-01-05,"['The Long Run', 'Eagles']",Eagles,The Long Run,13,0
13,1980-01-05,"['Head Games', 'Foreigner']",Foreigner,Head Games,14,0
14,1980-01-05,"['Better Love Next Time', 'Dr. Hook']",Dr. Hook,Better Love Next Time,15,0
15,1980-01-05,"['Jane', 'Jefferson Starship']",Jefferson Starship,Jane,16,0
16,1980-01-05,"['I Wanna Be Your Lover', 'Prince']",Prince,I Wanna Be Your Lover,17,0
17,1980-01-05,"['This Is It', 'Kenny Loggins']",Kenny Loggins,This Is It,18,0
18,1980-01-05,"['I Want You Tonight', 'Pablo Cruise']",Pablo Cruise,I Want You Tonight,19,0
19,1980-01-05,"[""You're Only Lonely"", 'J.D. Souther']",J.D. Souther,You're Only Lonely,20,0
20,1980-01-05,"['No More Tears (Enough Is Enough)', 'Barbra Streisand/Donna Summer']",Barbra Streisand/Donna Summer,No More Tears (Enough Is Enough),21,0
21,1980-01-05,"[""Don't Do Me Like That"", 'Tom Petty And The Heartbreakers']",Tom Petty And The Heartbreakers,Don't Do Me Like That,22,0
22,1980-01-05,"['Wait For Me', 'Daryl Hall John Oates']",Daryl Hall John Oates,Wait For Me,23,0
23,1980-01-05,"[""Don't Let Go"", 'Isaac Hayes']",Isaac Hayes,Don't Let Go,24,0
24,1980-01-05,"['Sara', 'Fleetwood Mac']",Fleetwood Mac,Sara,25,0
25,1980-01-05,"['Take The Long Way Home', 'Supertramp']",Supertramp,Take The Long Way Home,26,0
26,1980-01-05,"['Damned If I Do', 'The Alan Parsons Project']",The Alan Parsons Project,Damned If I Do,27,0
27,1980-01-05,"['Third Time Lucky (First Time I Was A Fool)', 'Foghat']",Foghat,Third Time Lucky (First Time I Was A Fool),28,0
28,1980-01-05,"['Deja Vu', 'Dionne Warwick']",Dionne Warwick,Deja Vu,29,0
29,1980-01-05,"['Chiquitita', 'ABBA']",ABBA,Chiquitita,30,0
30,1980-01-05,"[""Yes, I'm Ready"", 'Teri DeSario With K.C.']",Teri DeSario With K.C.,Ye,31,1
31,1980-01-05,"['Pop Muzik', 'M']",M,Pop Muzik,32,0
32,1980-01-05,"['Half The Way', 'Crystal Gayle']",Crystal Gayle,Half The Way,33,0
33,1980-01-05,"['Heartache Tonight', 'Eagles']",Eagles,Heartache Tonight,34,0
34,1980-01-05,"[""Romeo's Tune"", 'Steve Forbert']",Steve Forbert,Romeo's Tune,35,0
35,1980-01-05,"['Rotation', 'Herb Alpert']",Herb Alpert,Rotation,36,0
36,1980-01-05,"[""Rapper's Delight"", 'Sugarhill Gang']",Sugarhill Gang,Rapper's Delight,37,0
37,1980-01-05,"['Train, Train', 'Blackfoot']",Blackfoot,Trai,38,1
38,1980-01-05,"[""I'd Rather Leave While I'm In Love"", 'Rita Coolidge']",Rita Coolidge,I'd Rather Leave While I'm In Love,39,0
39,1980-01-05,"['Forever Mine', ""The O'Jays""]",The O'Jays,Forever Mine,40,0
40,1980-01-05,"['Savannah Nights', 'Tom Johnston']",Tom Johnston,Savannah Nights,41,0
41,1980-01-05,"['Fool In The Rain', 'Led Zeppelin']",Led Zeppelin,Fool In The Rain,42,0
42,1980-01-05,"['Crazy Little Thing Called Love', 'Queen']",Queen,Crazy Little Thing Called Love,43,0
43,1980-01-05,"['Voices', 'Cheap Trick']",Cheap Trick,Voices,44,0
44,1980-01-05,"['Why Me', 'Styx']",Styx,Why Me,45,0
45,1980-01-05,"['You Know That I Love You', 'Santana']",Santana,You Know That I Love You,46,0
46,1980-01-05,"[""She's In Love With You"", 'Suzi Quatro']",Suzi Quatro,She's In Love With You,47,0
47,1980-01-05,"['Do You Love What You Feel', 'Rufus And Chaka Khan']",Rufus And Chaka Khan,Do You Love What You Feel,48,0
48,1980-01-05,"['Mistrusted Love', 'Mistress']",Mistress,Mistrusted Love,49,0
49,1980-01-05,"['Lonely Eyes', 'Robert John']",Robert John,Lonely Eyes,50,0
50,1980-01-05,"['Lost Her In The Sun', 'John Stewart']",John Stewart,Lost Her In The Sun,51,0
51,1980-01-05,"['Dig The Gold', 'Joyce Cobb']",Joyce Cobb,Dig The Gold,52,0
52,1980-01-05,"['Last Train To London', 'Electric Light Orchestra']",Electric Light Orchestra,Last Train To London,53,0
53,1980-01-05,"[""September Morn'"", 'Neil Diamond']",Neil Diamond,September Morn',54,0
54,1980-01-05,"['Money', 'The Flying Lizards']",The Flying Lizards,Money,55,0
55,1980-01-05,"['Daydream Believer', 'Anne Murray']",Anne Murray,Daydream Believer,56,0
56,1980-01-05,"['Move Your Boogie Body', 'Bar-Kays']",Bar-Kays,Move Your Boogie Body,57,0
57,1980-01-05,"['Wonderland', 'Commodores']",Commodores,Wonderland,58,0
58,1980-01-05,"['An American Dream', 'The Dirt Band']",The Dirt Band,An American Dream,59,0
59,1980-01-05,"['Dirty Water', 'The Inmates']",The Inmates,Dirty Water,60,0
60,1980-01-05,"['Looks Like Love Again', 'Dann Rogers']",Dann Rogers,Looks Like Love Again,61,0
61,1980-01-05,"['Working My Way Back To You/Forgive Me, Girl', 'The Spinners']",The Spinners,Working My Way Back To You/Forgive M,62,1
62,1980-01-05,"['Glide', 'Pleasure']",Pleasure,Glide,63,0
63,1980-01-05,"['Ships', 'Barry Manilow']",Barry Manilow,Ships,64,0
64,1980-01-05,"['Heartbreaker', 'Pat Benatar']",Pat Benatar,Heartbreaker,65,0
65,1980-01-05,"['When I Wanted You', 'Barry Manilow']",Barry Manilow,When I Wanted You,66,0
66,1980-01-05,"['Longer', 'Dan Fogelberg']",Dan Fogelberg,Longer,67,0
67,1980-01-05,"['Stargazer', 'Peter Brown']",Peter Brown,Stargazer,68,0
68,1980-01-05,"['I Need A Lover', 'John Cougar']",John Cougar,I Need A Lover,69,0
69,1980-01-05,"['Memorize Your Number', 'Leif Garrett']",Leif Garrett,Memorize Your Number,70,0
70,1980-01-05,"['Star', 'Earth, Wind & Fire']",ind & Fire,Star,71,1
71,1980-01-05,"['Can We Still Be Friends', 'Robert Palmer']",Robert Palmer,Can We Still Be Friends,72,0
72,1980-01-05,"['99', 'Toto']",Toto,99,73,0
73,1980-01-05,"['The Second Time Around', 'Shalamar']",Shalamar,The Second Time Around,74,0
74,1980-01-05,"[""You're Gonna Get What's Coming"", 'Bonnie Raitt']",Bonnie Raitt,You're Gonna Get What's Coming,75,0
75,1980-01-05,"[""I Don't Want To Talk About It"", 'Rod Stewart']",Rod Stewart,I Don't Want To Talk About It,76,0
76,1980-01-05,"[""I Can't Help Myself (Sugar Pie, Honey Bunch)"", 'Bonnie Pointer']",Bonnie Pointer,I Can't Help Myself (Sugar Pi,77,1
77,1980-01-05,"['Shooting Star', 'Dollar']",Dollar,Shooting Star,78,0
78,1980-01-05,"[""Don't Make Me Over"", 'Jennifer Warnes']",Jennifer Warnes,Don't Make Me Over,79,0
