,Date,Data,Artist,Title,Rank,Note
0,2000-01-01,"['Smooth', 'Santana Featuring Rob Thomas']",Santana Featuring Rob Thomas,Smooth,1,0
1,2000-01-01,"['Back At One', 'Brian McKnight']",Brian McKnight,Back At One,2,0
2,2000-01-01,"['I Wanna Love You Forever', 'Jessica Simpson']",Jessica Simpson,I Wanna Love You Forever,3,0
3,2000-01-01,"['My Love Is Your Love', 'Whitney Houston']",Whitney Houston,My Love Is Your Love,4,0
4,2000-01-01,"['I Knew I Loved You', 'Savage Garden']",Savage Garden,I Knew I Loved You,5,0
5,2000-01-01,"['I Need To Know', 'Marc Anthony']",Marc Anthony,I Need To Know,6,0
6,2000-01-01,"['Hot Boyz', 'Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip']",VE & Q-Tip,Hot Boyz,7,1
7,2000-01-01,"[""U Know What's Up"", 'Donell Jones']",Donell Jones,U Know What's Up,8,0
8,2000-01-01,"['Bring It All To Me', 'Blaque']",Blaque,Bring It All To Me,9,0
9,2000-01-01,"['Girl On TV', 'LFO']",LFO,Girl On TV,10,0
10,2000-01-01,"['What A Girl Wants', 'Christina Aguilera']",Christina Aguilera,What A Girl Wants,11,0
11,2000-01-01,"['24/7', 'Kevon Edmonds']",Kevon Edmonds,24/7,12,0
12,2000-01-01,"['Blue (Da Ba Dee)', 'Eiffel 65']",Eiffel 65,Blue (Da Ba Dee),13,0
13,2000-01-01,"['Then The Morning Comes', 'Smash Mouth']",Smash Mouth,Then The Morning Comes,14,0
14,2000-01-01,"[""He Can't Love U"", 'Jagged Edge']",Jagged Edge,He Can't Love U,15,0
15,2000-01-01,"['Waiting For Tonight', 'Jennifer Lopez']",Jennifer Lopez,Waiting For Tonight,16,0
16,2000-01-01,"[""That's The Way It Is"", 'Celine Dion']",Celine Dion,That's The Way It Is,17,0
17,2000-01-01,"['The Christmas Song (Chestnuts Roasting On An Open Fire)', 'Christina Aguilera']",Christina Aguilera,The Christmas Song (Chestnuts Roasting On An Open Fire),18,0
18,2000-01-01,"[""Dancin'"", 'Guy']",Guy,Dancin',19,0
19,2000-01-01,"['Steal My Sunshine', 'Len']",Len,Steal My Sunshine,20,0
20,2000-01-01,"['Get It On Tonite', 'Montell Jordan']",Montell Jordan,Get It On Tonite,21,0
21,2000-01-01,"['Learn To Fly', 'Foo Fighters']",Foo Fighters,Learn To Fly,22,0
22,2000-01-01,"['Big Deal', 'LeAnn Rimes']",LeAnn Rimes,Big Deal,23,0
23,2000-01-01,"['Meet Virginia', 'Train']",Train,Meet Virginia,24,0
24,2000-01-01,"['Unpretty', 'TLC']",TLC,Unpretty,25,0
25,2000-01-01,"['Breathe', 'Faith Hill']",Faith Hill,Breathe,26,0
26,2000-01-01,"['Back That Thang Up', ""Juvenile Featuring Mannie Fresh & Lil' Wayne""]",Juvenile Featuring Mannie Fresh & Lil' Wayne,Back That Thang Up,27,0
27,2000-01-01,"['4, 5, 6', 'Sole Featuring JT Money & Kandi']",Sole Featuring JT Money & Kandi,,28,1
28,2000-01-01,"['Stay The Night', 'IMx']",IMx,Stay The Night,29,0
29,2000-01-01,"[""Don't Say You Love Me"", 'M2M']",M2M,Don't Say You Love Me,30,0
30,2000-01-01,"['Where My Girls At?', '702']",702,Where My Girls At?,31,0
31,2000-01-01,"['Mambo No. 5 (A Little Bit Of...)', 'Lou Bega']",Lou Bega,Mambo No. 5 (A Little Bit Of...),32,0
32,2000-01-01,"['Hanginaround', 'Counting Crows']",Counting Crows,Hanginaround,33,0
33,2000-01-01,"['Take A Picture', 'Filter']",Filter,Take A Picture,34,0
34,2000-01-01,"['Get Gone', 'Ideal']",Ideal,Get Gone,35,0
35,2000-01-01,"['Someday', 'Sugar Ray']",Sugar Ray,Someday,36,0
36,2000-01-01,"[""He Didn't Have To Be"", 'Brad Paisley']",Brad Paisley,He Didn't Have To Be,37,0
37,2000-01-01,"['Got Your Money', ""Ol' Dirty Bastard Featuring Kelis""]",Ol' Dirty Bastard Featuring Kelis,Got Your Money,38,0
38,2000-01-01,"['Shake Your Bon-Bon', 'Ricky Martin']",Ricky Martin,Shake Your Bon-Bon,39,0
39,2000-01-01,"['If You Love Me', 'Mint Condition']",Mint Condition,If You Love Me,40,0
40,2000-01-01,"['Black Balloon', 'Goo Goo Dolls']",Goo Goo Dolls,Black Balloon,41,0
41,2000-01-01,"['Rhythm Divine', 'Enrique Iglesias']",Enrique Iglesias,Rhythm Divine,42,0
42,2000-01-01,"['Thank God I Found You', 'Mariah Carey Featuring Joe & 98 Degrees']",Mariah Carey Featuring Joe & 98 Degrees,Thank God I Found You,43,0
43,2000-01-01,"['Satisfy You', 'Puff Daddy Featuring R. Kelly']",Puff Daddy Featuring R. Kelly,Satisfy You,44,0
44,2000-01-01,"['Amazed', 'Lonestar']",Lonestar,Amazed,45,0
45,2000-01-01,"['What Do You Say', 'Reba']",Reba,What Do You Say,46,0
46,2000-01-01,"['You Can Do It', 'Ice Cube Featuring Mack 10 & Ms. Toi']",Ice Cube Featuring Mack 10 & Ms. Toi,You Can Do It,47,0
47,2000-01-01,"['Cowboy Take Me Away', 'Dixie Chicks']",Dixie Chicks,Cowboy Take Me Away,48,0
48,2000-01-01,"['When I Said I Do', 'Clint Black']",Clint Black,When I Said I Do,49,0
49,2000-01-01,"['My Best Friend', 'Tim McGraw']",Tim McGraw,My Best Friend,50,0
50,2000-01-01,"['Got To Get It', 'Sisqo Featuring Make It Hot']",Sisqo Featuring Make It Hot,Got To Get It,51,0
51,2000-01-01,"['All The Small Things', 'Blink-182']",Blink-182,All The Small Things,52,0
52,2000-01-01,"['This Gift', '98 Degrees']",98 Degrees,This Gift,53,0
53,2000-01-01,"['Auld Lang Syne', 'Kenny G']",Kenny G,Auld Lang Syne,54,0
54,2000-01-01,"['Angels', 'Robbie Williams']",Robbie Williams,Angels,55,0
55,2000-01-01,"['Say My Name', ""Destiny's Child""]",Destiny's Child,Say My Name,56,0
56,2000-01-01,"['Pop A Top', 'Alan Jackson']",Alan Jackson,Pop A Top,57,0
57,2000-01-01,"['Caught Out There', 'Kelis']",Kelis,Caught Out There,58,0
58,2000-01-01,"['15 Minutes', 'Marc Nelson']",Marc Nelson,15 Minutes,59,0
59,2000-01-01,"['Heartbreaker', 'Mariah Carey Featuring Jay-Z']",Mariah Carey Featuring Jay-Z,Heartbreaker,60,0
60,2000-01-01,"['Higher', 'Creed']",Creed,Higher,61,0
61,2000-01-01,"['Bling Bling', ""B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne""]",uvenile & Lil' Wayne,Bling Bling,62,1
62,2000-01-01,"['Will 2K', 'Will Smith Featuring K-Ci']",Will Smith Featuring K-Ci,Will 2K,63,0
63,2000-01-01,"['Deep Inside', 'Mary J. Blige']",Mary J. Blige,Deep Inside,64,0
64,2000-01-01,"['All Things Considered', 'Yankee Grey']",Yankee Grey,All Things Considered,65,0
65,2000-01-01,"['I Love You', 'Martina McBride']",Martina McBride,I Love You,66,0
66,2000-01-01,"['Sexual (Li Da Di)', 'Amber']",Amber,Sexual (Li Da Di),67,0
67,2000-01-01,"['None Of Ur Friends Business', 'Ginuwine']",Ginuwine,None Of Ur Friends Business,68,0
68,2000-01-01,"['Deck The Halls', 'SHeDAISY']",SHeDAISY,Deck The Halls,69,0
69,2000-01-01,"['Left & Right', ""D'Angelo Featuring Method Man And Redman""]",D'Angelo Featuring Method Man And Redman,Left & Right,70,0
70,2000-01-01,"['Smile', 'Lonestar']",Lonestar,Smile,71,0
71,2000-01-01,"['The Great Beyond', 'R.E.M.']",R.E.M.,The Great Beyond,72,0
72,2000-01-01,"['Bug A Boo', ""Destiny's Child""]",Destiny's Child,Bug A Boo,73,0
73,2000-01-01,"['Show Me The Meaning Of Being Lonely', 'Backstreet Boys']",Backstreet Boys,Show Me The Meaning Of Being Lonely,74,0
74,2000-01-01,"[""We Can't Be Friends"", 'Deborah Cox With R.L.']",Deborah Cox With R.L.,We Can't Be Friends,75,0
75,2000-01-01,"['(You Drive Me) Crazy', 'Britney Spears']",Britney Spears,(You Drive Me) Crazy,76,0
76,2000-01-01,"['One Night Stand', 'J-Shin Featuring LaTocha Scott']",J-Shin Featuring LaTocha Scott,One Night Stand,77,0
77,2000-01-01,"['N 2 Gether Now', 'Limp Bizkit Featuring Method Man']",Limp Bizkit Featuring Method Man,N 2 Gether Now,78,0
78,2000-01-01,"['No More Rain (In This Cloud)', 'Angie Stone']",Angie Stone,No More Rain (In This Cloud),79,0
79,2000-01-01,"['Home To You', 'John Michael Montgomery']",John Michael Montgomery,Home To You,80,0
80,2000-01-01,"['The Chemicals Between Us', 'Bush']",Bush,The Chemicals Between Us,81,0
81,2000-01-01,"['Tha Block Is Hot', ""Lil' Wayne Featuring Juvenile & B.G.""]",Lil' Wayne Featuring Juvenile & B.G.,Tha Block Is Hot,82,0
82,2000-01-01,"['Guerrilla Radio', 'Rage Against The Machine']",Rage Against The Machine,Guerrilla Radio,83,0
83,2000-01-01,"['Live, Laugh, Love', 'Clay Walker']",Clay Walker,Liv,84,1
84,2000-01-01,"['Notorious B.I.G.', ""The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim""]",The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,Notorious B.I.G.,85,0
85,2000-01-01,"[""She Thinks My Tractor's Sexy"", 'Kenny Chesney']",Kenny Chesney,She Thinks My Tractor's Sexy,86,0
86,2000-01-01,"['Larger Than Life', 'Backstreet Boys']",Backstreet Boys,Larger Than Life,87,0
87,2000-01-01,"['There She Goes', 'Sixpence None The Richer']",Sixpence None The Richer,There She Goes,88,0
88,2000-01-01,"['The Greatest Romance Ever Sold', 'Prince']",Prince,The Greatest Romance Ever Sold,89,0
89,2000-01-01,"['The Rockafeller Skank', 'Fatboy Slim']",Fatboy Slim,The Rockafeller Skank,90,0
90,2000-01-01,"['Give You What You Want (Fa Sure)', 'Chico DeBarge']",Chico DeBarge,Give You What You Want (Fa Sure),91,0
91,2000-01-01,"['Music Of My Heart', ""'N Sync & Gloria Estefan""]",'N Sync & Gloria Estefan,Music Of My Heart,92,0
92,2000-01-01,"['A Country Boy Can Survive (Y2K Version)', 'Chad Brock With Hank Williams Jr. & George Jones']",Chad Brock With Hank Williams Jr. & George Jones,A Country Boy Can Survive (Y2K Version),93,0
93,2000-01-01,"['I Wanna Know', 'Joe']",Joe,I Wanna Know,94,0
94,2000-01-01,"['Re-arranged', 'Limp Bizkit']",Limp Bizkit,Re-arranged,95,0
95,2000-01-01,"['L.A. Song', 'Beth Hart']",Beth Hart,L.A. Song,96,0
96,2000-01-01,"['Gotta Man', 'Eve']",Eve,Gotta Man,97,0
97,2000-01-01,"[""The Quittin' Kind"", 'Joe Diffie']",Joe Diffie,The Quittin' Kind,98,0
98,2000-01-01,"['Steam', 'Ty Herndon']",Ty Herndon,Steam,99,0
99,2000-01-01,"['NAStradamus', 'Nas']",Nas,NAStradamus,100,0
100,2000-01-29,"['I Knew I Loved You', 'Savage Garden']",Savage Garden,I Knew I Loved You,1,0
101,2000-01-29,"['What A Girl Wants', 'Christina Aguilera']",Christina Aguilera,What A Girl Wants,2,0
102,2000-01-29,"['Smooth', 'Santana Featuring Rob Thomas']",Santana Featuring Rob Thomas,Smooth,3,0
103,2000-01-29,"['Back At One', 'Brian McKnight']",Brian McKnight,Back At One,4,0
104,2000-01-29,"['Bring It All To Me', 'Blaque']",Blaque,Bring It All To Me,5,0
105,2000-01-29,"['Blue (Da Ba Dee)', 'Eiffel 65']",Eiffel 65,Blue (Da Ba Dee),6,0
106,2000-01-29,"['Hot Boyz', 'Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip']",VE & Q-Tip,Hot Boyz,7,1
107,2000-01-29,"[""That's The Way It Is"", 'Celine Dion']",Celine Dion,That's The Way It Is,8,0
108,2000-01-29,"['I Need To Know', 'Marc Anthony']",Marc Anthony,I Need To Know,9,0
109,2000-01-29,"['My Love Is Your Love', 'Whitney Houston']",Whitney Houston,My Love Is Your Love,10,0
110,2000-01-29,"['Then The Morning Comes', 'Smash Mouth']",Smash Mouth,Then The Morning Comes,11,0
111,2000-01-29,"['I Wanna Love You Forever', 'Jessica Simpson']",Jessica Simpson,I Wanna Love You Forever,12,0
112,2000-01-29,"['Say My Name', ""Destiny's Child""]",Destiny's Child,Say My Name,13,0
113,2000-01-29,"['Amazed', 'Lonestar']",Lonestar,Amazed,14,0
114,2000-01-29,"['Get It On Tonite', 'Montell Jordan']",Montell Jordan,Get It On Tonite,15,0
115,2000-01-29,"['Show Me The Meaning Of Being Lonely', 'Backstreet Boys']",Backstreet Boys,Show Me The Meaning Of Being Lonely,16,0
116,2000-01-29,"[""U Know What's Up"", 'Donell Jones']",Donell Jones,U Know What's Up,17,0
117,2000-01-29,"[""He Can't Love U"", 'Jagged Edge']",Jagged Edge,He Can't Love U,18,0
118,2000-01-29,"['Take A Picture', 'Filter']",Filter,Take A Picture,19,0
119,2000-01-29,"['Learn To Fly', 'Foo Fighters']",Foo Fighters,Learn To Fly,20,0
120,2000-01-29,"['Meet Virginia', 'Train']",Train,Meet Virginia,21,0
121,2000-01-29,"['Thank God I Found You', 'Mariah Carey Featuring Joe & 98 Degrees']",Mariah Carey Featuring Joe & 98 Degrees,Thank God I Found You,22,0
122,2000-01-29,"['Breathe', 'Faith Hill']",Faith Hill,Breathe,23,0
123,2000-01-29,"['Waiting For Tonight', 'Jennifer Lopez']",Jennifer Lopez,Waiting For Tonight,24,0
124,2000-01-29,"['Big Deal', 'LeAnn Rimes']",LeAnn Rimes,Big Deal,25,0
125,2000-01-29,"['All The Small Things', 'Blink-182']",Blink-182,All The Small Things,26,0
126,2000-01-29,"['Cowboy Take Me Away', 'Dixie Chicks']",Dixie Chicks,Cowboy Take Me Away,27,0
127,2000-01-29,"['Hanginaround', 'Counting Crows']",Counting Crows,Hanginaround,28,0
128,2000-01-29,"['My Best Friend', 'Tim McGraw']",Tim McGraw,My Best Friend,29,0
129,2000-01-29,"['Where My Girls At?', '702']",702,Where My Girls At?,30,0
130,2000-01-29,"['What Do You Say', 'Reba']",Reba,What Do You Say,31,0
131,2000-01-29,"['Never Let You Go', 'Third Eye Blind']",Third Eye Blind,Never Let You Go,32,0
132,2000-01-29,"['Black Balloon', 'Goo Goo Dolls']",Goo Goo Dolls,Black Balloon,33,0
133,2000-01-29,"['Girl On TV', 'LFO']",LFO,Girl On TV,34,0
134,2000-01-29,"['24/7', 'Kevon Edmonds']",Kevon Edmonds,24/7,35,0
135,2000-01-29,"['Unpretty', 'TLC']",TLC,Unpretty,36,0
136,2000-01-29,"['Back That Thang Up', ""Juvenile Featuring Mannie Fresh & Lil' Wayne""]",Juvenile Featuring Mannie Fresh & Lil' Wayne,Back That Thang Up,37,0
137,2000-01-29,"['Rhythm Divine', 'Enrique Iglesias']",Enrique Iglesias,Rhythm Divine,38,0
138,2000-01-29,"['Steal My Sunshine', 'Len']",Len,Steal My Sunshine,39,0
139,2000-01-29,"['Someday', 'Sugar Ray']",Sugar Ray,Someday,40,0
140,2000-01-29,"['I Wanna Know', 'Joe']",Joe,I Wanna Know,41,0
141,2000-01-29,"['Bye Bye Bye', ""'N Sync""]",'N Sync,Bye Bye Bye,42,0
142,2000-01-29,"['Got To Get It', 'Sisqo Featuring Make It Hot']",Sisqo Featuring Make It Hot,Got To Get It,43,0
143,2000-01-29,"['Smile', 'Lonestar']",Lonestar,Smile,44,0
144,2000-01-29,"['You Can Do It', 'Ice Cube Featuring Mack 10 & Ms. Toi']",Ice Cube Featuring Mack 10 & Ms. Toi,You Can Do It,45,0
145,2000-01-29,"['Love Is Blind', 'Eve Featuring Faith Evans']",Eve Featuring Faith Evans,Love Is Blind,46,0
146,2000-01-29,"['Pop A Top', 'Alan Jackson']",Alan Jackson,Pop A Top,47,0
147,2000-01-29,"['None Of Ur Friends Business', 'Ginuwine']",Ginuwine,None Of Ur Friends Business,48,0
148,2000-01-29,"['Sexual (Li Da Di)', 'Amber']",Amber,Sexual (Li Da Di),49,0
149,2000-01-29,"[""He Didn't Have To Be"", 'Brad Paisley']",Brad Paisley,He Didn't Have To Be,50,0
150,2000-01-29,"['Back At One', 'Mark Wills']",Mark Wills,Back At One,51,0
151,2000-01-29,"['It Feels So Good', 'Sonique']",Sonique,It Feels So Good,52,0
