,Date,Data,Artist,Title,Rank,Note
0,1970-01-03,"[""Raindrops Keep Fallin' On My Head"", 'B.J. Thomas']",B.J. Thomas,Raindrops Keep Fallin' On My Head,1,0
1,1970-01-03,"['Leaving On A Jet Plane', 'Peter, Paul & Mary']",aul & Mary,Leaving On A Jet Plane,2,1
2,1970-01-03,"[""Someday We'll Be Together"", 'Diana Ross & The Supremes']",Diana Ross & The Supremes,Someday We'll Be Together,3,0
3,1970-01-03,"['Down On The Corner/Fortunate Son', 'Creedence Clearwater Revival']",Creedence Clearwater Revival,Down On The Corner/Fortunate Son,4,0
4,1970-01-03,"['Na Na Hey Hey Kiss Him Goodbye', 'Steam']",Steam,Na Na Hey Hey Kiss Him Goodbye,5,0
5,1970-01-03,"['Whole Lotta Love', 'Led Zeppelin']",Led Zeppelin,Whole Lotta Love,6,0
6,1970-01-03,"['I Want You Back', 'Jackson 5']",Jackson 5,I Want You Back,7,0
7,1970-01-03,"['Venus', 'The Shocking Blue']",The Shocking Blue,Venus,8,0
8,1970-01-03,"['Holly Holy', 'Neil Diamond']",Neil Diamond,Holly Holy,9,0
9,1970-01-03,"['La La La (If I Had You)', 'Bobby Sherman']",Bobby Sherman,La La La (If I Had You),10,0
10,1970-01-03,"['Midnight Cowboy', 'Ferrante & Teicher']",Ferrante & Teicher,Midnight Cowboy,11,0
11,1970-01-03,"['Come Together/Something', 'The Beatles']",The Beatles,Come Together/Something,12,0
12,1970-01-03,"['Jam Up Jelly Tight', 'Tommy Roe']",Tommy Roe,Jam Up Jelly Tight,13,0
13,1970-01-03,"[""Eli's Coming"", 'Three Dog Night']",Three Dog Night,Eli's Coming,14,0
14,1970-01-03,"[""Don't Cry Daddy/Rubberneckin'"", 'Elvis Presley']",Elvis Presley,Don't Cry Daddy/Rubberneckin',15,0
15,1970-01-03,"['Take A Letter Maria', 'R.B. Greaves']",R.B. Greaves,Take A Letter Maria,16,0
16,1970-01-03,"['Jingle Jangle', 'The Archies']",The Archies,Jingle Jangle,17,0
17,1970-01-03,"['Early In The Morning', 'Vanity Fare']",Vanity Fare,Early In The Morning,18,0
18,1970-01-03,"['Backfield In Motion', 'Mel And Tim']",Mel And Tim,Backfield In Motion,19,0
19,1970-01-03,"['And When I Die', 'Blood, Sweat & Tears']",weat & Tears,And When I Die,20,1
20,1970-01-03,"['These Eyes', 'Jr. Walker & The All Stars']",Jr. Walker & The All Stars,These Eyes,21,0
21,1970-01-03,"[""Evil Woman Don't Play Your Games With Me"", 'CROW']",CROW,Evil Woman Don't Play Your Games With Me,22,0
22,1970-01-03,"['Yester-Me, Yester-You, Yesterday', 'Stevie Wonder']",Stevie Wonder,Yester-M,23,1
23,1970-01-03,"['Friendship Train', 'Gladys Knight And The Pips']",Gladys Knight And The Pips,Friendship Train,24,0
24,1970-01-03,"['Up On Cripple Creek', 'The Band']",The Band,Up On Cripple Creek,25,0
25,1970-01-03,"['Smile A Little Smile For Me', 'The Flying Machine']",The Flying Machine,Smile A Little Smile For Me,26,0
26,1970-01-03,"['A Brand New Me', 'Dusty Springfield']",Dusty Springfield,A Brand New Me,27,0
27,1970-01-03,"['She', 'Tommy James And The Shondells']",Tommy James And The Shondells,She,28,0
28,1970-01-03,"['Without Love (There Is Nothing)', 'Tom Jones']",Tom Jones,Without Love (There Is Nothing),29,0
29,1970-01-03,"[""Baby, I'm For Real"", 'The Originals']",The Originals,Bab,30,1
30,1970-01-03,"[""Ain't It Funky Now (Part 1)"", 'James Brown']",James Brown,Ain't It Funky Now (Part 1),31,0
31,1970-01-03,"['Wedding Bell Blues', 'The 5th Dimension']",The 5th Dimension,Wedding Bell Blues,32,0
32,1970-01-03,"['Cold Turkey', 'Plastic Ono Band']",Plastic Ono Band,Cold Turkey,33,0
33,1970-01-03,"['Cherry Hill Park', 'Billy Joe Royal']",Billy Joe Royal,Cherry Hill Park,34,0
34,1970-01-03,"['Winter World Of Love', 'Engelbert Humperdinck']",Engelbert Humperdinck,Winter World Of Love,35,0
35,1970-01-03,"['Heaven Knows', 'The Grass Roots']",The Grass Roots,Heaven Knows,36,0
36,1970-01-03,"['Wonderful World, Beautiful People', 'Jimmy Cliff']",Jimmy Cliff,Wonderful Worl,37,1
37,1970-01-03,"['She Belongs To Me', 'Rick Nelson']",Rick Nelson,She Belongs To Me,38,0
38,1970-01-03,"['Point It Out', 'Smokey Robinson & The Miracles']",Smokey Robinson & The Miracles,Point It Out,39,0
39,1970-01-03,"[""I'll Never Fall In Love Again"", 'Dionne Warwick']",Dionne Warwick,I'll Never Fall In Love Again,40,0
40,1970-01-03,"['Okie From Muskogee', 'Merle Haggard And The Strangers']",Merle Haggard And The Strangers,Okie From Muskogee,41,0
41,1970-01-03,"['Cupid', 'Johnny Nash']",Johnny Nash,Cupid,42,0
42,1970-01-03,"['Arizona', 'Mark Lindsay']",Mark Lindsay,Arizona,43,0
43,1970-01-03,"['Fancy', 'Bobbie Gentry']",Bobbie Gentry,Fancy,44,0
44,1970-01-03,"[""Walkin' In The Rain"", 'Jay & The Americans']",Jay & The Americans,Walkin' In The Rain,45,0
45,1970-01-03,"['She Came In Through The Bathroom Window', 'Joe Cocker']",Joe Cocker,She Came In Through The Bathroom Window,46,0
46,1970-01-03,"[""Don't Let Love Hang You Up"", 'Jerry Butler']",Jerry Butler,Don't Let Love Hang You Up,47,0
