,Date,Data,Artist,Title,Rank,Note
0,1960-01-04,"['El Paso', 'Marty Robbins']",Marty Robbins,El Paso,1,0
1,1960-01-04,"['Why', 'Frankie Avalon']",Frankie Avalon,Why,2,0
2,1960-01-04,"['The Big Hurt', 'Miss Toni Fisher']",Miss Toni Fisher,The Big Hurt,3,0
3,1960-01-04,"['Running Bear', 'Johnny Preston']",Johnny Preston,Running Bear,4,0
4,1960-01-04,"['Way Down Yonder In New Orleans', 'Freddie Cannon']",Freddie Cannon,Way Down Yonder In New Orleans,5,0
5,1960-01-04,"['Heartaches By The Number', 'Guy Mitchell']",Guy Mitchell,Heartaches By The Number,6,0
6,1960-01-04,"[""It's Time To Cry"", 'Paul Anka']",Paul Anka,It's Time To Cry,7,0
7,1960-01-04,"['Among My Souvenirs', 'Connie Francis']",Connie Francis,Among My Souvenirs,8,0
8,1960-01-04,"['Pretty Blue Eyes', 'Steve Lawrence']",Steve Lawrence,Pretty Blue Eyes,9,0
9,1960-01-04,"['Go, Jimmy, Go', 'Jimmy Clanton']",Jimmy Clanton,G,10,1
10,1960-01-04,"['We Got Love', 'Bobby Rydell']",Bobby Rydell,We Got Love,11,0
11,1960-01-04,"['Mack The Knife', 'Bobby Darin']",Bobby Darin,Mack The Knife,12,0
12,1960-01-04,"['The Village Of St. Bernadette', 'Andy Williams']",Andy Williams,The Village Of St. Bernadette,13,0
13,1960-01-04,"['Uh! Oh! Part 2', 'The Nutty Squirrels']",The Nutty Squirrels,Uh! Oh! Part 2,14,0
14,1960-01-04,"['Sandy', 'Larry Hall']",Larry Hall,Sandy,15,0
15,1960-01-04,"['Hound Dog Man', 'Fabian']",Fabian,Hound Dog Man,16,0
16,1960-01-04,"['Scarlet Ribbons (For Her Hair)', 'The Browns']",The Browns,Scarlet Ribbons (For Her Hair),17,0
17,1960-01-04,"['Smokie - Part 2', ""Bill Black's Combo""]",Bill Black's Combo,Smokie - Part 2,18,0
18,1960-01-04,"['Not One Minute More', 'Della Reese']",Della Reese,Not One Minute More,19,0
19,1960-01-04,"['This Friendly World', 'Fabian']",Fabian,This Friendly World,20,0
20,1960-01-04,"['In The Mood', 'Ernie Fields & Orch.']",Ernie Fields & Orch.,In The Mood,21,0
21,1960-01-04,"['The Little Drummer Boy', 'The Harry Simeone Chorale']",The Harry Simeone Chorale,The Little Drummer Boy,22,0
22,1960-01-04,"['You Got What It Takes', 'Marv Johnson']",Marv Johnson,You Got What It Takes,23,0
23,1960-01-04,"['First Name Initial', 'Annette With The Afterbeats']",Annette With The Afterbeats,First Name Initial,24,0
24,1960-01-04,"['So Many Ways', 'Brook Benton']",Brook Benton,So Many Ways,25,0
25,1960-01-04,"['Oh! Carol', 'Neil Sedaka']",Neil Sedaka,Oh! Carol,26,0
26,1960-01-04,"['Be My Guest', 'Fats Domino']",Fats Domino,Be My Guest,27,0
27,1960-01-04,"['Tear Drop', 'Santo & Johnny']",Santo & Johnny,Tear Drop,28,0
28,1960-01-04,"['Teen Angel', 'Mark Dinning']",Mark Dinning,Teen Angel,29,0
29,1960-01-04,"['Come Into My Heart', 'Lloyd Price and His Orchestra']",Lloyd Price and His Orchestra,Come Into My Heart,30,0
30,1960-01-04,"['Mr. Blue', 'The Fleetwoods']",The Fleetwoods,Mr. Blue,31,0
31,1960-01-04,"['I Wanna Be Loved', 'Ricky Nelson']",Ricky Nelson,I Wanna Be Loved,32,0
32,1960-01-04,"['Danny Boy', 'Conway Twitty']",Conway Twitty,Danny Boy,33,0
33,1960-01-04,"[""Don't You Know"", 'Della Reese']",Della Reese,Don't You Know,34,0
34,1960-01-04,"['Talk That Talk', 'Jackie Wilson']",Jackie Wilson,Talk That Talk,35,0
35,1960-01-04,"['Marina', 'Rocco Granata and the International Quintet']",Rocco Granata and the International Quintet,Marina,36,0
36,1960-01-04,"['Just Come Home', 'Hugo & Luigi']",Hugo & Luigi,Just Come Home,37,0
37,1960-01-04,"['How About That', 'Dee Clark']",Dee Clark,How About That,38,0
38,1960-01-04,"[""Swingin' On A Rainbow"", 'Frankie Avalon']",Frankie Avalon,Swingin' On A Rainbow,39,0
39,1960-01-04,"['Misty', 'Johnny Mathis']",Johnny Mathis,Misty,40,0
40,1960-01-04,"[""He'll Have To Go"", 'Jim Reeves']",Jim Reeves,He'll Have To Go,41,0
41,1960-01-04,"['Believe Me', 'Royal Teens']",Royal Teens,Believe Me,42,0
42,1960-01-04,"['Dance With Me', 'The Drifters']",The Drifters,Dance With Me,43,0
43,1960-01-04,"['Just As Much As Ever', 'Bob Beckham']",Bob Beckham,Just As Much As Ever,44,0
44,1960-01-04,"['The Happy Reindeer', 'Dancer, Prancer And Nervous']",rancer And Nervous,The Happy Reindeer,45,1
45,1960-01-04,"['Bonnie Came Back', 'Duane Eddy His Twangy Guitar And The Rebels']",Duane Eddy His Twangy Guitar And The Rebels,Bonnie Came Back,46,0
46,1960-01-04,"['(New In) The Ways Of Love', 'Tommy Edwards']",Tommy Edwards,(New In) The Ways Of Love,47,0
47,1960-01-04,"['If I Had A Girl', 'Rod Lauren']",Rod Lauren,If I Had A Girl,48,0
48,1960-01-04,"['Mighty Good', 'Ricky Nelson']",Ricky Nelson,Mighty Good,49,0
49,1960-01-04,"['What About Us', 'The Coasters']",The Coasters,What About Us,50,0
50,1960-01-04,"['Where Or When', 'Dion & The Belmonts']",Dion & The Belmonts,Where Or When,51,0
51,1960-01-04,"['The Clouds', 'The Spacemen']",The Spacemen,The Clouds,52,0
52,1960-01-04,"[""Mary Don't You Weep"", 'Stonewall Jackson']",Stonewall Jackson,Mary Don't You Weep,53,0
53,1960-01-04,"['Marina', 'Willy Alberti']",Willy Alberti,Marina,54,0
54,1960-01-04,"['(If You Cry) True Love, True Love', 'The Drifters']",The Drifters,(If You Cry) True Lov,55,1
55,1960-01-04,"['No Love Have I', 'Webb Pierce']",Webb Pierce,No Love Have I,56,0
56,1960-01-04,"['Reveille Rock', 'Johnny And The Hurricanes']",Johnny And The Hurricanes,Reveille Rock,57,0
57,1960-01-04,"['Uh! Oh! Part 1', 'The Nutty Squirrels']",The Nutty Squirrels,Uh! Oh! Part 1,58,0
58,1960-01-04,"['Always', 'Sammy Turner']",Sammy Turner,Always,59,0
59,1960-01-04,"['Shimmy, Shimmy, Ko-Ko-Bop', 'Little Anthony And The Imperials']",Little Anthony And The Imperials,Shimm,60,1
60,1960-01-04,"[""The Chipmunk Song (Christmas Don't Be Late)"", 'David Seville And The Chipmunks']",David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late),61,0
61,1960-01-04,"['Down By The Station', 'The Four Preps']",The Four Preps,Down By The Station,62,0
62,1960-01-04,"['A Year Ago Tonight', 'The Crests']",The Crests,A Year Ago Tonight,63,0
63,1960-01-04,"['Honey Hush', 'Joe Turner']",Joe Turner,Honey Hush,64,0
64,1960-01-04,"['Lonely Blue Boy', 'Conway Twitty']",Conway Twitty,Lonely Blue Boy,65,0
65,1960-01-04,"[""Wont'cha Come Home"", 'Lloyd Price and His Orchestra']",Lloyd Price and His Orchestra,Wont'cha Come Home,66,0
66,1960-01-04,"['Handy Man', 'Jimmy Jones']",Jimmy Jones,Handy Man,67,0
67,1960-01-04,"['Crazy Arms', 'Bob Beckham']",Bob Beckham,Crazy Arms,68,0
68,1960-01-04,"['High School U.S.A.', 'Tommy Facenda']",Tommy Facenda,High School U.S.A.,69,0
69,1960-01-04,"['Lucky Devil', 'Carl Dobkins, Jr.']",r.,Lucky Devil,70,1
70,1960-01-04,"[""Let's Try Again"", 'Clyde McPhatter']",Clyde McPhatter,Let's Try Again,71,0
71,1960-01-04,"['Baciare Baciare (Kissing Kissing)', 'Dorothy Collins']",Dorothy Collins,Baciare Baciare (Kissing Kissing),72,0
72,1960-01-04,"['(Seven Little Girls) Sitting In The Back Seat', 'Paul Evans and the Curls']",Paul Evans and the Curls,(Seven Little Girls) Sitting In The Back Seat,73,0
73,1960-01-04,"['Primrose Lane', 'Jerry Wallace With The Jewels']",Jerry Wallace With The Jewels,Primrose Lane,74,0
74,1960-01-04,"['This Time Of The Year', 'Brook Benton']",Brook Benton,This Time Of The Year,75,0
75,1960-01-04,"['Love Potion No. 9', 'The Clovers']",The Clovers,Love Potion No. 9,76,0
76,1960-01-04,"[""Climb Ev'ry Mountain"", 'Tony Bennett']",Tony Bennett,Climb Ev'ry Mountain,77,0
77,1960-01-04,"['Skokiaan (South African Song)', 'Bill Haley And His Comets']",Bill Haley And His Comets,Skokiaan (South African Song),78,0
78,1960-01-04,"[""Sweet Nothin's"", 'Brenda Lee']",Brenda Lee,Sweet Nothin's,79,0
79,1960-01-04,"['Run Red Run', 'The Coasters']",The Coasters,Run Red Run,80,0
80,1960-01-04,"['Promise Me A Rose (A Slight Detail)', 'Anita Bryant']",Anita Bryant,Promise Me A Rose (A Slight Detail),81,0
81,1960-01-04,"[""Rockin' Little Angel"", 'Ray Smith']",Ray Smith,Rockin' Little Angel,82,0
82,1960-01-04,"[""I'm Movin' On"", 'Ray Charles and his Orchestra']",Ray Charles and his Orchestra,I'm Movin' On,83,0
83,1960-01-04,"[""Tracy's Theme"", 'Spencer Ross']",Spencer Ross,Tracy's Theme,84,0
84,1960-01-04,"['The Little Drummer Boy', 'Johnny Cash']",Johnny Cash,The Little Drummer Boy,85,0
85,1960-01-04,"['Little Things Mean A Lot', 'Joni James']",Joni James,Little Things Mean A Lot,86,0
86,1960-01-04,"['Riverboat', 'Faron Young']",Faron Young,Riverboat,87,0
87,1960-01-04,"['Harlem Nocturne', 'The Viscounts']",The Viscounts,Harlem Nocturne,88,0
88,1960-01-04,"['God Bless America', 'Connie Francis']",Connie Francis,God Bless America,89,0
89,1960-01-04,"['The Sound Of Music', 'Patti Page']",Patti Page,The Sound Of Music,90,0
90,1960-01-04,"[""I Don't Know What It Is"", 'The Bluenotes']",The Bluenotes,I Don't Know What It Is,91,0
91,1960-01-04,"['Darling Lorraine', 'The Knockouts']",The Knockouts,Darling Lorraine,92,0
92,1960-01-04,"['In The Still Of The Nite', 'The Five Satins']",The Five Satins,In The Still Of The Nite,93,0
93,1960-01-04,"['Do-Re-Mi', 'Mitch Miller']",Mitch Miller,Do-Re-Mi,94,0
94,1960-01-04,"['Little Coco Palm', 'Jerry Wallace']",Jerry Wallace,Little Coco Palm,95,0
95,1960-01-04,"['Deck Of Cards', 'Wink Martindale']",Wink Martindale,Deck Of Cards,96,0
96,1960-01-04,"['One Mint Julep', 'Chet Atkins']",Chet Atkins,One Mint Julep,97,0
97,1960-01-04,"['Happy Anniversary', 'Jane Morgan']",Jane Morgan,Happy Anniversary,98,0
98,1960-01-04,"['Smokie-Part 2', 'Bill Doggett']",Bill Doggett,Smokie-Part 2,99,0
99,1960-01-04,"['One More Chance', 'Rod Bernard']",Rod Bernard,One More Chance,100,0
100,1960-02-01,"['Running Bear', 'Johnny Preston']",Johnny Preston,Running Bear,1,0
101,1960-02-01,"['Teen Angel', 'Mark Dinning']",Mark Dinning,Teen Angel,2,0
102,1960-02-01,"['El Paso', 'Marty Robbins']",Marty Robbins,El Paso,3,0
103,1960-02-01,"['Where Or When', 'Dion & The Belmonts']",Dion & The Belmonts,Where Or When,4,0
104,1960-02-01,"['Go, Jimmy, Go', 'Jimmy Clanton']",Jimmy Clanton,G,5,1
105,1960-02-01,"['Why', 'Frankie Avalon']",Frankie Avalon,Why,6,0
106,1960-02-01,"['Handy Man', 'Jimmy Jones']",Jimmy Jones,Handy Man,7,0
107,1960-02-01,"['The Big Hurt', 'Miss Toni Fisher']",Miss Toni Fisher,The Big Hurt,8,0
108,1960-02-01,"['Way Down Yonder In New Orleans', 'Freddie Cannon']",Freddie Cannon,Way Down Yonder In New Orleans,9,0
109,1960-02-01,"['Pretty Blue Eyes', 'Steve Lawrence']",Steve Lawrence,Pretty Blue Eyes,10,0
110,1960-02-01,"['The Village Of St. Bernadette', 'Andy Williams']",Andy Williams,The Village Of St. Bernadette,11,0
111,1960-02-01,"[""What In The World's Come Over You"", 'Jack Scott']",Jack Scott,What In The World's Come Over You,12,0
112,1960-02-01,"['You Got What It Takes', 'Marv Johnson']",Marv Johnson,You Got What It Takes,13,0
113,1960-02-01,"['Lonely Blue Boy', 'Conway Twitty']",Conway Twitty,Lonely Blue Boy,14,0
114,1960-02-01,"['Down By The Station', 'The Four Preps']",The Four Preps,Down By The Station,15,0
115,1960-02-01,"['Let It Be Me', 'The Everly Brothers']",The Everly Brothers,Let It Be Me,16,0
116,1960-02-01,"[""He'll Have To Go"", 'Jim Reeves']",Jim Reeves,He'll Have To Go,17,0
117,1960-02-01,"[""It's Time To Cry"", 'Paul Anka']",Paul Anka,It's Time To Cry,18,0
118,1960-02-01,"['The Theme From ""A Summer Place""', 'Percy Faith And His Orchestra']",Percy Faith And His Orchestra,"The Theme From ""A Summer Place""",19,0
119,1960-02-01,"[""Tracy's Theme"", 'Spencer Ross']",Spencer Ross,Tracy's Theme,20,0
120,1960-02-01,"['Sandy', 'Larry Hall']",Larry Hall,Sandy,21,0
121,1960-02-01,"['Among My Souvenirs', 'Connie Francis']",Connie Francis,Among My Souvenirs,22,0
122,1960-02-01,"['Beyond The Sea', 'Bobby Darin']",Bobby Darin,Beyond The Sea,23,0
123,1960-02-01,"['Hound Dog Man', 'Fabian']",Fabian,Hound Dog Man,24,0
124,1960-02-01,"['First Name Initial', 'Annette With The Afterbeats']",Annette With The Afterbeats,First Name Initial,25,0
125,1960-02-01,"['T.L.C. Tender Love And Care', 'Jimmie Rodgers']",Jimmie Rodgers,T.L.C. Tender Love And Care,26,0
126,1960-02-01,"['Not One Minute More', 'Della Reese']",Della Reese,Not One Minute More,27,0
127,1960-02-01,"['Heartaches By The Number', 'Guy Mitchell']",Guy Mitchell,Heartaches By The Number,28,0
128,1960-02-01,"['Lucky Devil', 'Carl Dobkins, Jr.']",r.,Lucky Devil,29,1
129,1960-02-01,"['Smokie - Part 2', ""Bill Black's Combo""]",Bill Black's Combo,Smokie - Part 2,30,0
130,1960-02-01,"['If I Had A Girl', 'Rod Lauren']",Rod Lauren,If I Had A Girl,31,0
131,1960-02-01,"['Shimmy, Shimmy, Ko-Ko-Bop', 'Little Anthony And The Imperials']",Little Anthony And The Imperials,Shimm,32,1
132,1960-02-01,"['Bonnie Came Back', 'Duane Eddy His Twangy Guitar And The Rebels']",Duane Eddy His Twangy Guitar And The Rebels,Bonnie Came Back,33,0
133,1960-02-01,"[""Rockin' Little Angel"", 'Ray Smith']",Ray Smith,Rockin' Little Angel,34,0
134,1960-02-01,"['Little Things Mean A Lot', 'Joni James']",Joni James,Little Things Mean A Lot,35,0
135,1960-02-01,"['Little Coco Palm', 'Jerry Wallace']",Jerry Wallace,Little Coco Palm,36,0
136,1960-02-01,"['This Friendly World', 'Fabian']",Fabian,This Friendly World,37,0
137,1960-02-01,"['Bulldog', 'The Fireballs']",The Fireballs,Bulldog,38,0
138,1960-02-01,"['How About That', 'Dee Clark']",Dee Clark,How About That,39,0
139,1960-02-01,"['Mack The Knife', 'Bobby Darin']",Bobby Darin,Mack The Knife,40,0
140,1960-02-01,"['Waltzing Matilda', 'Jimmie Rodgers']",Jimmie Rodgers,Waltzing Matilda,41,0
141,1960-02-01,"['Run Red Run', 'The Coasters']",The Coasters,Run Red Run,42,0
142,1960-02-01,"['Baciare Baciare (Kissing Kissing)', 'Dorothy Collins']",Dorothy Collins,Baciare Baciare (Kissing Kissing),43,0
143,1960-02-01,"['Am I That Easy To Forget', 'Debbie Reynolds']",Debbie Reynolds,Am I That Easy To Forget,44,0
144,1960-02-01,"['Too Much Tequila', 'The Champs']",The Champs,Too Much Tequila,45,0
145,1960-02-01,"['Forever', 'The Little Dippers']",The Little Dippers,Forever,46,0
146,1960-02-01,"['Tear Drop', 'Santo & Johnny']",Santo & Johnny,Tear Drop,47,0
