Year,Date,Rank,Title,Artist
2020,2020-01-01,1,All I Want For Christmas Is You,Mariah Carey
2020,2020-01-01,2,Rockin' Around The Christmas Tree,Brenda Lee
2020,2020-01-01,3,Jingle Bell Rock,Bobby Helms
2020,2020-01-01,4,A Holly Jolly Christmas,Burl Ives
2020,2020-01-01,5,Circles,Post Malone
2020,2020-01-01,6,Roxanne,Arizona Zervas
2020,2020-01-01,7,It's The Most Wonderful Time Of The Year,Andy Williams
2020,2020-01-01,8,Someone You Loved,Lewis Capaldi
2020,2020-01-01,9,Memories,Maroon 5
2020,2020-01-01,10,Good As Hell,Lizzo
2020,2020-01-01,11,Last Christmas,Wham!
2020,2020-01-01,12,Feliz Navidad,Jose Feliciano
2020,2020-01-01,13,The Box,Roddy Ricch
2020,2020-01-01,14,Dance Monkey,Tones And I
2020,2020-01-01,15,"Let It Snow, Let It Snow, Let It Snow",Dean Martin
2020,2020-01-01,16,The Christmas Song (Merry Christmas To You),Nat King Cole
2020,2020-01-01,17,"10,000 Hours",Dan + Shay & Justin Bieber
2020,2020-01-01,18,Lose You To Love Me,Selena Gomez
2020,2020-01-01,19,Ballin',Mustard & Roddy Ricch
2020,2020-01-01,20,BOP,DaBaby
2020,2020-01-01,21,Sleigh Ride,The Ronettes
2020,2020-01-01,22,Rudolph The Red-Nosed Reindeer,Gene Autry
2020,2020-01-01,23,Bad Guy,Billie Eilish
2020,2020-01-01,24,Happy Holiday / The Holiday Season,Andy Williams
2020,2020-01-01,25,No Guidance,Chris Brown Featuring Drake
2020,2020-01-01,26,Senorita,Shawn Mendes & Camila Cabello
2020,2020-01-01,27,Bandit,Juice WRLD & YoungBoy Never Broke Again
2020,2020-01-01,28,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
2020,2020-01-01,29,Christmas (Baby Please Come Home),Darlene Love
2020,2020-01-01,30,Panini,Lil Nas X
2020,2020-01-01,31,Underneath The Tree,Kelly Clarkson
2020,2020-01-01,32,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
2020,2020-01-01,33,Hot,Young Thug Featuring Gunna
2020,2020-01-01,34,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2020,2020-01-01,35,Truth Hurts,Lizzo
2020,2020-01-01,36,Run Rudolph Run,Chuck Berry
2020,2020-01-01,37,(There's No Place Like) Home For The Holidays,Perry Como
2020,2020-01-01,38,HIGHEST IN THE ROOM,Travis Scott
2020,2020-01-01,39,Heartless,The Weeknd
2020,2020-01-01,40,Blue Christmas,Elvis Presley
2020,2020-01-01,41,Everything I Wanted,Billie Eilish
2020,2020-01-01,42,White Christmas,Bing Crosby
2020,2020-01-01,43,Jingle Bells,Frank Sinatra
2020,2020-01-01,44,Like It's Christmas,Jonas Brothers
2020,2020-01-01,45,Baby It's Cold Outside,Dean Martin
2020,2020-01-01,46,Trampoline,SHAED
2020,2020-01-01,47,Woah,Lil Baby
2020,2020-01-01,48,Futsal Shuffle 2020,Lil Uzi Vert
2020,2020-01-01,49,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
2020,2020-01-01,50,Ran$om,Lil Tecca
2020,2020-01-01,51,Falling,Trevor Daniel
2020,2020-01-01,52,Don't Start Now,Dua Lipa
2020,2020-01-01,53,Adore You,Harry Styles
2020,2020-01-01,54,One Man Band,Old Dominion
2020,2020-01-01,55,Hot Girl Bummer,blackbear
2020,2020-01-01,56,Suicidal,YNW Melly & Juice WRLD
2020,2020-01-01,57,Lover,Taylor Swift
2020,2020-01-01,58,On Chill,Wale Featuring Jeremih
2020,2020-01-01,59,Even Though I'm Leaving,Luke Combs
2020,2020-01-01,60,No Idea,Don Toliver
2020,2020-01-01,61,Graveyard,Halsey
2020,2020-01-01,62,My Oh My,Camila Cabello Featuring DaBaby
2020,2020-01-01,63,Juicy,Doja Cat & Tyga
2020,2020-01-01,64,The Bones,Maren Morris
2020,2020-01-01,65,Playing Games,Summer Walker
2020,2020-01-01,66,Heat,Chris Brown Featuring Gunna
2020,2020-01-01,67,Into The Unknown,Idina Menzel & AURORA
2020,2020-01-01,68,VIBEZ,DaBaby
2020,2020-01-01,69,Happy Xmas (War Is Over),John Legend
2020,2020-01-01,70,Heart On Ice,Rod Wave
2020,2020-01-01,71,What If I Never Get Over You,Lady Antebellum
2020,2020-01-01,72,Blinding Lights,The Weeknd
2020,2020-01-01,73,Ridin' Roads,Dustin Lynch
2020,2020-01-01,74,Camelot,NLE Choppa
2020,2020-01-01,75,Heartache Medication,Jon Pardi
2020,2020-01-01,76,Start Wit Me,Roddy Ricch & Gunna
2020,2020-01-01,77,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott
2020,2020-01-01,78,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock"
2020,2020-01-01,79,Hate Me,Ellie Goulding & Juice WRLD
2020,2020-01-01,80,Kinfolks,Sam Hunt
2020,2020-01-01,81,Let Me Know (I Wonder Why Freestyle),Juice WRLD
2020,2020-01-01,82,Remember You Young,Thomas Rhett
2020,2020-01-01,83,Death,Trippie Redd Featuring DaBaby
2020,2020-01-01,84,223's,YNW Melly & 9lokknine
2020,2020-01-01,85,Slide,H.E.R. Featuring YG
2020,2020-01-01,86,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin
2020,2020-01-01,87,Watermelon Sugar,Harry Styles
2020,2020-01-01,88,Homesick,Kane Brown
2020,2020-01-01,89,Slow Dancing In The Dark,Joji
2020,2020-01-01,90,Easy,DaniLeigh Featuring Chris Brown
2020,2020-01-01,91,Vete,Bad Bunny
2020,2020-01-01,92,Baby Sitter,DaBaby Featuring Offset
2020,2020-01-01,93,Nice To Meet Ya,Niall Horan
2020,2020-01-01,94,Yellow Hearts,Ant Saunders
2020,2020-01-01,95,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie
2020,2020-01-01,96,Candy,Doja Cat
2020,2020-01-01,97,BEST ON EARTH,Russ & BIA
2020,2020-01-01,98,Tusa,Karol G & Nicki Minaj
2020,2020-01-01,99,Enemies,Post Malone Featuring DaBaby
2020,2020-01-01,100,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B
2020,2020-01-02,1,All I Want For Christmas Is You,Mariah Carey
2020,2020-01-02,2,Rockin' Around The Christmas Tree,Brenda Lee
2020,2020-01-02,3,Jingle Bell Rock,Bobby Helms
2020,2020-01-02,4,A Holly Jolly Christmas,Burl Ives
2020,2020-01-02,5,Circles,Post Malone
2020,2020-01-02,6,Roxanne,Arizona Zervas
2020,2020-01-02,7,It's The Most Wonderful Time Of The Year,Andy Williams
2020,2020-01-02,8,Someone You Loved,Lewis Capaldi
2020,2020-01-02,9,Memories,Maroon 5
2020,2020-01-02,10,Good As Hell,Lizzo
2020,2020-01-02,11,Last Christmas,Wham!
2020,2020-01-02,12,Feliz Navidad,Jose Feliciano
2020,2020-01-02,13,The Box,Roddy Ricch
2020,2020-01-02,14,Dance Monkey,Tones And I
2020,2020-01-02,15,"Let It Snow, Let It Snow, Let It Snow",Dean Martin
2020,2020-01-02,16,The Christmas Song (Merry Christmas To You),Nat King Cole
2020,2020-01-02,17,"10,000 Hours",Dan + Shay & Justin Bieber
2020,2020-01-02,18,Lose You To Love Me,Selena Gomez
2020,2020-01-02,19,Ballin',Mustard & Roddy Ricch
2020,2020-01-02,20,BOP,DaBaby
2020,2020-01-02,21,Sleigh Ride,The Ronettes
2020,2020-01-02,22,Rudolph The Red-Nosed Reindeer,Gene Autry
2020,2020-01-02,23,Bad Guy,Billie Eilish
2020,2020-01-02,24,Happy Holiday / The Holiday Season,Andy Williams
2020,2020-01-02,25,No Guidance,Chris Brown Featuring Drake
2020,2020-01-02,26,Senorita,Shawn Mendes & Camila Cabello
2020,2020-01-02,27,Bandit,Juice WRLD & YoungBoy Never Broke Again
2020,2020-01-02,28,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
2020,2020-01-02,29,Christmas (Baby Please Come Home),Darlene Love
2020,2020-01-02,30,Panini,Lil Nas X
2020,2020-01-02,31,Underneath The Tree,Kelly Clarkson
2020,2020-01-02,32,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
2020,2020-01-02,33,Hot,Young Thug Featuring Gunna
2020,2020-01-02,34,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2020,2020-01-02,35,Truth Hurts,Lizzo
2020,2020-01-02,36,Run Rudolph Run,Chuck Berry
2020,2020-01-02,37,(There's No Place Like) Home For The Holidays,Perry Como
2020,2020-01-02,38,HIGHEST IN THE ROOM,Travis Scott
2020,2020-01-02,39,Heartless,The Weeknd
2020,2020-01-02,40,Blue Christmas,Elvis Presley
2020,2020-01-02,41,Everything I Wanted,Billie Eilish
2020,2020-01-02,42,White Christmas,Bing Crosby
2020,2020-01-02,43,Jingle Bells,Frank Sinatra
2020,2020-01-02,44,Like It's Christmas,Jonas Brothers
2020,2020-01-02,45,Baby It's Cold Outside,Dean Martin
2020,2020-01-02,46,Trampoline,SHAED
2020,2020-01-02,47,Woah,Lil Baby
2020,2020-01-02,48,Futsal Shuffle 2020,Lil Uzi Vert
2020,2020-01-02,49,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
2020,2020-01-02,50,Ran$om,Lil Tecca
2020,2020-01-02,51,Falling,Trevor Daniel
2020,2020-01-02,52,Don't Start Now,Dua Lipa
2020,2020-01-02,53,Adore You,Harry Styles
2020,2020-01-02,54,One Man Band,Old Dominion
2020,2020-01-02,55,Hot Girl Bummer,blackbear
2020,2020-01-02,56,Suicidal,YNW Melly & Juice WRLD
2020,2020-01-02,57,Lover,Taylor Swift
2020,2020-01-02,58,On Chill,Wale Featuring Jeremih
2020,2020-01-02,59,Even Though I'm Leaving,Luke Combs
2020,2020-01-02,60,No Idea,Don Toliver
2020,2020-01-02,61,Graveyard,Halsey
2020,2020-01-02,62,My Oh My,Camila Cabello Featuring DaBaby
2020,2020-01-02,63,Juicy,Doja Cat & Tyga
2020,2020-01-02,64,The Bones,Maren Morris
2020,2020-01-02,65,Playing Games,Summer Walker
2020,2020-01-02,66,Heat,Chris Brown Featuring Gunna
2020,2020-01-02,67,Into The Unknown,Idina Menzel & AURORA
2020,2020-01-02,68,VIBEZ,DaBaby
2020,2020-01-02,69,Happy Xmas (War Is Over),John Legend
2020,2020-01-02,70,Heart On Ice,Rod Wave
2020,2020-01-02,71,What If I Never Get Over You,Lady Antebellum
2020,2020-01-02,72,Blinding Lights,The Weeknd
2020,2020-01-02,73,Ridin' Roads,Dustin Lynch
2020,2020-01-02,74,Camelot,NLE Choppa
2020,2020-01-02,75,Heartache Medication,Jon Pardi
2020,2020-01-02,76,Start Wit Me,Roddy Ricch & Gunna
2020,2020-01-02,77,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott
2020,2020-01-02,78,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock"
2020,2020-01-02,79,Hate Me,Ellie Goulding & Juice WRLD
2020,2020-01-02,80,Kinfolks,Sam Hunt
2020,2020-01-02,81,Let Me Know (I Wonder Why Freestyle),Juice WRLD
2020,2020-01-02,82,Remember You Young,Thomas Rhett
2020,2020-01-02,83,Death,Trippie Redd Featuring DaBaby
2020,2020-01-02,84,223's,YNW Melly & 9lokknine
2020,2020-01-02,85,Slide,H.E.R. Featuring YG
2020,2020-01-02,86,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin
2020,2020-01-02,87,Watermelon Sugar,Harry Styles
2020,2020-01-02,88,Homesick,Kane Brown
2020,2020-01-02,89,Slow Dancing In The Dark,Joji
2020,2020-01-02,90,Easy,DaniLeigh Featuring Chris Brown
2020,2020-01-02,91,Vete,Bad Bunny
2020,2020-01-02,92,Baby Sitter,DaBaby Featuring Offset
2020,2020-01-02,93,Nice To Meet Ya,Niall Horan
2020,2020-01-02,94,Yellow Hearts,Ant Saunders
2020,2020-01-02,95,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie
2020,2020-01-02,96,Candy,Doja Cat
2020,2020-01-02,97,BEST ON EARTH,Russ & BIA
2020,2020-01-02,98,Tusa,Karol G & Nicki Minaj
2020,2020-01-02,99,Enemies,Post Malone Featuring DaBaby
2020,2020-01-02,100,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B
2020,2020-01-03,1,All I Want For Christmas Is You,Mariah Carey
2020,2020-01-03,2,Rockin' Around The Christmas Tree,Brenda Lee
2020,2020-01-03,3,Jingle Bell Rock,Bobby Helms
2020,2020-01-03,4,A Holly Jolly Christmas,Burl Ives
2020,2020-01-03,5,Circles,Post Malone
2020,2020-01-03,6,Roxanne,Arizona Zervas
2020,2020-01-03,7,It's The Most Wonderful Time Of The Year,Andy Williams
2020,2020-01-03,8,Someone You Loved,Lewis Capaldi
2020,2020-01-03,9,Memories,Maroon 5
2020,2020-01-03,10,Good As Hell,Lizzo
2020,2020-01-03,11,Last Christmas,Wham!
2020,2020-01-03,12,Feliz Navidad,Jose Feliciano
2020,2020-01-03,13,The Box,Roddy Ricch
2020,2020-01-03,14,Dance Monkey,Tones And I
2020,2020-01-03,15,"Let It Snow, Let It Snow, Let It Snow",Dean Martin
2020,2020-01-03,16,The Christmas Song (Merry Christmas To You),Nat King Cole
2020,2020-01-03,17,"10,000 Hours",Dan + Shay & Justin Bieber
2020,2020-01-03,18,Lose You To Love Me,Selena Gomez
2020,2020-01-03,19,Ballin',Mustard & Roddy Ricch
2020,2020-01-03,20,BOP,DaBaby
2020,2020-01-03,21,Sleigh Ride,The Ronettes
2020,2020-01-03,22,Rudolph The Red-Nosed Reindeer,Gene Autry
2020,2020-01-03,23,Bad Guy,Billie Eilish
2020,2020-01-03,24,Happy Holiday / The Holiday Season,Andy Williams
2020,2020-01-03,25,No Guidance,Chris Brown Featuring Drake
2020,2020-01-03,26,Senorita,Shawn Mendes & Camila Cabello
2020,2020-01-03,27,Bandit,Juice WRLD & YoungBoy Never Broke Again
2020,2020-01-03,28,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
2020,2020-01-03,29,Christmas (Baby Please Come Home),Darlene Love
2020,2020-01-03,30,Panini,Lil Nas X
2020,2020-01-03,31,Underneath The Tree,Kelly Clarkson
2020,2020-01-03,32,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
2020,2020-01-03,33,Hot,Young Thug Featuring Gunna
2020,2020-01-03,34,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2020,2020-01-03,35,Truth Hurts,Lizzo
2020,2020-01-03,36,Run Rudolph Run,Chuck Berry
2020,2020-01-03,37,(There's No Place Like) Home For The Holidays,Perry Como
2020,2020-01-03,38,HIGHEST IN THE ROOM,Travis Scott
2020,2020-01-03,39,Heartless,The Weeknd
2020,2020-01-03,40,Blue Christmas,Elvis Presley
2020,2020-01-03,41,Everything I Wanted,Billie Eilish
2020,2020-01-03,42,White Christmas,Bing Crosby
2020,2020-01-03,43,Jingle Bells,Frank Sinatra
2020,2020-01-03,44,Like It's Christmas,Jonas Brothers
2020,2020-01-03,45,Baby It's Cold Outside,Dean Martin
2020,2020-01-03,46,Trampoline,SHAED
2020,2020-01-03,47,Woah,Lil Baby
2020,2020-01-03,48,Futsal Shuffle 2020,Lil Uzi Vert
2020,2020-01-03,49,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
2020,2020-01-03,50,Ran$om,Lil Tecca
2020,2020-01-03,51,Falling,Trevor Daniel
2020,2020-01-03,52,Don't Start Now,Dua Lipa
2020,2020-01-03,53,Adore You,Harry Styles
2020,2020-01-03,54,One Man Band,Old Dominion
2020,2020-01-03,55,Hot Girl Bummer,blackbear
2020,2020-01-03,56,Suicidal,YNW Melly & Juice WRLD
2020,2020-01-03,57,Lover,Taylor Swift
2020,2020-01-03,58,On Chill,Wale Featuring Jeremih
2020,2020-01-03,59,Even Though I'm Leaving,Luke Combs
2020,2020-01-03,60,No Idea,Don Toliver
2020,2020-01-03,61,Graveyard,Halsey
2020,2020-01-03,62,My Oh My,Camila Cabello Featuring DaBaby
2020,2020-01-03,63,Juicy,Doja Cat & Tyga
2020,2020-01-03,64,The Bones,Maren Morris
2020,2020-01-03,65,Playing Games,Summer Walker
2020,2020-01-03,66,Heat,Chris Brown Featuring Gunna
2020,2020-01-03,67,Into The Unknown,Idina Menzel & AURORA
2020,2020-01-03,68,VIBEZ,DaBaby
2020,2020-01-03,69,Happy Xmas (War Is Over),John Legend
2020,2020-01-03,70,Heart On Ice,Rod Wave
2020,2020-01-03,71,What If I Never Get Over You,Lady Antebellum
2020,2020-01-03,72,Blinding Lights,The Weeknd
2020,2020-01-03,73,Ridin' Roads,Dustin Lynch
2020,2020-01-03,74,Camelot,NLE Choppa
2020,2020-01-03,75,Heartache Medication,Jon Pardi
2020,2020-01-03,76,Start Wit Me,Roddy Ricch & Gunna
2020,2020-01-03,77,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott
2020,2020-01-03,78,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock"
2020,2020-01-03,79,Hate Me,Ellie Goulding & Juice WRLD
2020,2020-01-03,80,Kinfolks,Sam Hunt
2020,2020-01-03,81,Let Me Know (I Wonder Why Freestyle),Juice WRLD
2020,2020-01-03,82,Remember You Young,Thomas Rhett
2020,2020-01-03,83,Death,Trippie Redd Featuring DaBaby
2020,2020-01-03,84,223's,YNW Melly & 9lokknine
2020,2020-01-03,85,Slide,H.E.R. Featuring YG
2020,2020-01-03,86,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin
2020,2020-01-03,87,Watermelon Sugar,Harry Styles
2020,2020-01-03,88,Homesick,Kane Brown
2020,2020-01-03,89,Slow Dancing In The Dark,Joji
2020,2020-01-03,90,Easy,DaniLeigh Featuring Chris Brown
2020,2020-01-03,91,Vete,Bad Bunny
2020,2020-01-03,92,Baby Sitter,DaBaby Featuring Offset
2020,2020-01-03,93,Nice To Meet Ya,Niall Horan
2020,2020-01-03,94,Yellow Hearts,Ant Saunders
2020,2020-01-03,95,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie
2020,2020-01-03,96,Candy,Doja Cat
2020,2020-01-03,97,BEST ON EARTH,Russ & BIA
2020,2020-01-03,98,Tusa,Karol G & Nicki Minaj
2020,2020-01-03,99,Enemies,Post Malone Featuring DaBaby
2020,2020-01-03,100,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B
2020,2020-01-04,1,All I Want For Christmas Is You,Mariah Carey
2020,2020-01-04,2,Rockin' Around The Christmas Tree,Brenda Lee
2020,2020-01-04,3,Jingle Bell Rock,Bobby Helms
2020,2020-01-04,4,A Holly Jolly Christmas,Burl Ives
2020,2020-01-04,5,Circles,Post Malone
2020,2020-01-04,6,Roxanne,Arizona Zervas
2020,2020-01-04,7,It's The Most Wonderful Time Of The Year,Andy Williams
2020,2020-01-04,8,Someone You Loved,Lewis Capaldi
2020,2020-01-04,9,Memories,Maroon 5
2020,2020-01-04,10,Good As Hell,Lizzo
2020,2020-01-04,11,Last Christmas,Wham!
2020,2020-01-04,12,Feliz Navidad,Jose Feliciano
2020,2020-01-04,13,The Box,Roddy Ricch
2020,2020-01-04,14,Dance Monkey,Tones And I
2020,2020-01-04,15,"Let It Snow, Let It Snow, Let It Snow",Dean Martin
2020,2020-01-04,16,The Christmas Song (Merry Christmas To You),Nat King Cole
2020,2020-01-04,17,"10,000 Hours",Dan + Shay & Justin Bieber
2020,2020-01-04,18,Lose You To Love Me,Selena Gomez
2020,2020-01-04,19,Ballin',Mustard & Roddy Ricch
2020,2020-01-04,20,BOP,DaBaby
2020,2020-01-04,21,Sleigh Ride,The Ronettes
2020,2020-01-04,22,Rudolph The Red-Nosed Reindeer,Gene Autry
2020,2020-01-04,23,Bad Guy,Billie Eilish
2020,2020-01-04,24,Happy Holiday / The Holiday Season,Andy Williams
2020,2020-01-04,25,No Guidance,Chris Brown Featuring Drake
2020,2020-01-04,26,Senorita,Shawn Mendes & Camila Cabello
2020,2020-01-04,27,Bandit,Juice WRLD & YoungBoy Never Broke Again
2020,2020-01-04,28,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
2020,2020-01-04,29,Christmas (Baby Please Come Home),Darlene Love
2020,2020-01-04,30,Panini,Lil Nas X
2020,2020-01-04,31,Underneath The Tree,Kelly Clarkson
2020,2020-01-04,32,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
2020,2020-01-04,33,Hot,Young Thug Featuring Gunna
2020,2020-01-04,34,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2020,2020-01-04,35,Truth Hurts,Lizzo
2020,2020-01-04,36,Run Rudolph Run,Chuck Berry
2020,2020-01-04,37,(There's No Place Like) Home For The Holidays,Perry Como
2020,2020-01-04,38,HIGHEST IN THE ROOM,Travis Scott
2020,2020-01-04,39,Heartless,The Weeknd
2020,2020-01-04,40,Blue Christmas,Elvis Presley
2020,2020-01-04,41,Everything I Wanted,Billie Eilish
2020,2020-01-04,42,White Christmas,Bing Crosby
2020,2020-01-04,43,Jingle Bells,Frank Sinatra
2020,2020-01-04,44,Like It's Christmas,Jonas Brothers
2020,2020-01-04,45,Baby It's Cold Outside,Dean Martin
2020,2020-01-04,46,Trampoline,SHAED
2020,2020-01-04,47,Woah,Lil Baby
2020,2020-01-04,48,Futsal Shuffle 2020,Lil Uzi Vert
2020,2020-01-04,49,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
2020,2020-01-04,50,Ran$om,Lil Tecca
2020,2020-01-04,51,Falling,Trevor Daniel
2020,2020-01-04,52,Don't Start Now,Dua Lipa
2020,2020-01-04,53,Adore You,Harry Styles
2020,2020-01-04,54,One Man Band,Old Dominion
2020,2020-01-04,55,Hot Girl Bummer,blackbear
2020,2020-01-04,56,Suicidal,YNW Melly & Juice WRLD
2020,2020-01-04,57,Lover,Taylor Swift
2020,2020-01-04,58,On Chill,Wale Featuring Jeremih
2020,2020-01-04,59,Even Though I'm Leaving,Luke Combs
2020,2020-01-04,60,No Idea,Don Toliver
2020,2020-01-04,61,Graveyard,Halsey
2020,2020-01-04,62,My Oh My,Camila Cabello Featuring DaBaby
2020,2020-01-04,63,Juicy,Doja Cat & Tyga
2020,2020-01-04,64,The Bones,Maren Morris
2020,2020-01-04,65,Playing Games,Summer Walker
2020,2020-01-04,66,Heat,Chris Brown Featuring Gunna
2020,2020-01-04,67,Into The Unknown,Idina Menzel & AURORA
2020,2020-01-04,68,VIBEZ,DaBaby
2020,2020-01-04,69,Happy Xmas (War Is Over),John Legend
2020,2020-01-04,70,Heart On Ice,Rod Wave
2020,2020-01-04,71,What If I Never Get Over You,Lady Antebellum
2020,2020-01-04,72,Blinding Lights,The Weeknd
2020,2020-01-04,73,Ridin' Roads,Dustin Lynch
2020,2020-01-04,74,Camelot,NLE Choppa
2020,2020-01-04,75,Heartache Medication,Jon Pardi
2020,2020-01-04,76,Start Wit Me,Roddy Ricch & Gunna
2020,2020-01-04,77,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott
2020,2020-01-04,78,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock"
2020,2020-01-04,79,Hate Me,Ellie Goulding & Juice WRLD
2020,2020-01-04,80,Kinfolks,Sam Hunt
2020,2020-01-04,81,Let Me Know (I Wonder Why Freestyle),Juice WRLD
2020,2020-01-04,82,Remember You Young,Thomas Rhett
2020,2020-01-04,83,Death,Trippie Redd Featuring DaBaby
2020,2020-01-04,84,223's,YNW Melly & 9lokknine
2020,2020-01-04,85,Slide,H.E.R. Featuring YG
2020,2020-01-04,86,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin
2020,2020-01-04,87,Watermelon Sugar,Harry Styles
2020,2020-01-04,88,Homesick,Kane Brown
2020,2020-01-04,89,Slow Dancing In The Dark,Joji
2020,2020-01-04,90,Easy,DaniLeigh Featuring Chris Brown
2020,2020-01-04,91,Vete,Bad Bunny
2020,2020-01-04,92,Baby Sitter,DaBaby Featuring Offset
2020,2020-01-04,93,Nice To Meet Ya,Niall Horan
2020,2020-01-04,94,Yellow Hearts,Ant Saunders
2020,2020-01-04,95,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie
2020,2020-01-04,96,Candy,Doja Cat
2020,2020-01-04,97,BEST ON EARTH,Russ & BIA
2020,2020-01-04,98,Tusa,Karol G & Nicki Minaj
2020,2020-01-04,99,Enemies,Post Malone Featuring DaBaby
2020,2020-01-04,100,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B
2020,2020-01-05,1,Circles,Post Malone
2020,2020-01-05,2,Memories,Maroon 5
2020,2020-01-05,3,The Box,Roddy Ricch
2020,2020-01-05,4,Someone You Loved,Lewis Capaldi
2020,2020-01-05,5,Roxanne,Arizona Zervas
2020,2020-01-05,6,Good As Hell,Lizzo
2020,2020-01-05,7,Dance Monkey,Tones And I
2020,2020-01-05,8,HIGHEST IN THE ROOM,Travis Scott
2020,2020-01-05,9,"10,000 Hours",Dan + Shay & Justin Bieber
2020,2020-01-05,10,Lose You To Love Me,Selena Gomez
2020,2020-01-05,11,Senorita,Shawn Mendes & Camila Cabello
2020,2020-01-05,12,Ballin',Mustard & Roddy Ricch
2020,2020-01-05,13,BOP,DaBaby
2020,2020-01-05,14,Bad Guy,Billie Eilish
2020,2020-01-05,15,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2020,2020-01-05,16,No Guidance,Chris Brown Featuring Drake
2020,2020-01-05,17,Panini,Lil Nas X
2020,2020-01-05,18,Truth Hurts,Lizzo
2020,2020-01-05,19,Trampoline,SHAED
2020,2020-01-05,20,Heartless,The Weeknd
2020,2020-01-05,21,Don't Start Now,Dua Lipa
2020,2020-01-05,22,Bandit,Juice WRLD & YoungBoy Never Broke Again
2020,2020-01-05,23,Everything I Wanted,Billie Eilish
2020,2020-01-05,24,Hot,Young Thug Featuring Gunna
2020,2020-01-05,25,Only Human,Jonas Brothers
2020,2020-01-05,26,One Man Band,Old Dominion
2020,2020-01-05,27,Woah,Lil Baby
2020,2020-01-05,28,I Don't Care,Ed Sheeran & Justin Bieber
2020,2020-01-05,29,Sucker,Jonas Brothers
2020,2020-01-05,30,Even Though I'm Leaving,Luke Combs
2020,2020-01-05,31,Falling,Trevor Daniel
2020,2020-01-05,32,Hot Girl Bummer,blackbear
2020,2020-01-05,33,Ran$om,Lil Tecca
2020,2020-01-05,34,Lover,Taylor Swift
2020,2020-01-05,35,Adore You,Harry Styles
2020,2020-01-05,36,The Bones,Maren Morris
2020,2020-01-05,37,Graveyard,Halsey
2020,2020-01-05,38,Out West,JACKBOYS Featuring Young Thug
2020,2020-01-05,39,On Chill,Wale Featuring Jeremih
2020,2020-01-05,40,Talk,Khalid
2020,2020-01-05,41,Suicidal,YNW Melly & Juice WRLD
2020,2020-01-05,42,Beautiful People,Ed Sheeran Featuring Khalid
2020,2020-01-05,43,Suge,DaBaby
2020,2020-01-05,44,Futsal Shuffle 2020,Lil Uzi Vert
2020,2020-01-05,45,Juicy,Doja Cat & Tyga
2020,2020-01-05,46,No Idea,Don Toliver
2020,2020-01-05,47,Baby,Lil Baby & DaBaby
2020,2020-01-05,48,GANG GANG,JACKBOYS & Sheck Wes
2020,2020-01-05,49,What If I Never Get Over You,Lady Antebellum
2020,2020-01-05,50,My Oh My,Camila Cabello Featuring DaBaby
2020,2020-01-05,51,Ridin' Roads,Dustin Lynch
2020,2020-01-05,52,HAD ENOUGH,Don Toliver Featuring Quavo & Offset
2020,2020-01-05,53,Heat,Chris Brown Featuring Gunna
2020,2020-01-05,54,Playing Games,Summer Walker
