,Year,Month,Unemployment Rate
253,1981,02,7.4
254,1981,03,7.4
255,1981,04,7.2
256,1981,05,7.5
257,1981,06,7.5
258,1981,07,7.2
259,1981,08,7.4
260,1981,09,7.6
261,1981,10,7.9
262,1981,11,8.3
263,1981,12,8.5
264,1982,01,8.6
265,1982,02,8.9
266,1982,03,9.0
267,1982,04,9.3
268,1982,05,9.4
269,1982,06,9.6
270,1982,07,9.8
271,1982,08,9.8
272,1982,09,10.1
273,1982,10,10.4
274,1982,11,10.8
275,1982,12,10.8
276,1983,01,10.4
277,1983,02,10.4
278,1983,03,10.3
279,1983,04,10.2
280,1983,05,10.1
281,1983,06,10.1
282,1983,07,9.4
283,1983,08,9.5
284,1983,09,9.2
285,1983,10,8.8
286,1983,11,8.5
287,1983,12,8.3
288,1984,01,8.0
289,1984,02,7.8
290,1984,03,7.8
291,1984,04,7.7
292,1984,05,7.4
293,1984,06,7.2
294,1984,07,7.5
295,1984,08,7.5
296,1984,09,7.3
297,1984,10,7.4
298,1984,11,7.2
299,1984,12,7.3
300,1985,01,7.3
301,1985,02,7.2
302,1985,03,7.2
303,1985,04,7.3
304,1985,05,7.2
305,1985,06,7.4
306,1985,07,7.4
307,1985,08,7.1
308,1985,09,7.1
309,1985,10,7.1
310,1985,11,7.0
311,1985,12,7.0
312,1986,01,6.7
313,1986,02,7.2
314,1986,03,7.2
315,1986,04,7.1
316,1986,05,7.2
317,1986,06,7.2
318,1986,07,7.0
319,1986,08,6.9
320,1986,09,7.0
321,1986,10,7.0
322,1986,11,6.9
323,1986,12,6.6
324,1987,01,6.6
325,1987,02,6.6
326,1987,03,6.6
327,1987,04,6.3
328,1987,05,6.3
329,1987,06,6.2
330,1987,07,6.1
331,1987,08,6.0
332,1987,09,5.9
333,1987,10,6.0
334,1987,11,5.8
335,1987,12,5.7
336,1988,01,5.7
337,1988,02,5.7
338,1988,03,5.7
339,1988,04,5.4
340,1988,05,5.6
341,1988,06,5.4
342,1988,07,5.4
343,1988,08,5.6
344,1988,09,5.4
345,1988,10,5.4
346,1988,11,5.3
347,1988,12,5.3
348,1989,01,5.4
349,1989,02,5.2
350,1989,03,5.0
351,1989,04,5.2
352,1989,05,5.2
353,1989,06,5.3
354,1989,07,5.2
355,1989,08,5.2
356,1989,09,5.3
357,1989,10,5.3
358,1989,11,5.4
359,1989,12,5.4
360,1990,01,5.4
361,1990,02,5.3
362,1990,03,5.2
363,1990,04,5.4
364,1990,05,5.4
365,1990,06,5.2
366,1990,07,5.5
367,1990,08,5.7
368,1990,09,5.9
369,1990,10,5.9
370,1990,11,6.2
371,1990,12,6.3
372,1991,01,6.4
373,1991,02,6.6
374,1991,03,6.8
375,1991,04,6.7
376,1991,05,6.9
377,1991,06,6.9
378,1991,07,6.8
379,1991,08,6.9
380,1991,09,6.9
381,1991,10,7.0
382,1991,11,7.0
383,1991,12,7.3
384,1992,01,7.3
385,1992,02,7.4
386,1992,03,7.4
387,1992,04,7.4
388,1992,05,7.6
389,1992,06,7.8
390,1992,07,7.7
391,1992,08,7.6
392,1992,09,7.6
393,1992,10,7.3
394,1992,11,7.4
395,1992,12,7.4
396,1993,01,7.3
397,1993,02,7.1
398,1993,03,7.0
399,1993,04,7.1
400,1993,05,7.1
401,1993,06,7.0
402,1993,07,6.9
403,1993,08,6.8
404,1993,09,6.7
405,1993,10,6.8
406,1993,11,6.6
407,1993,12,6.5
408,1994,01,6.6
409,1994,02,6.6
410,1994,03,6.5
411,1994,04,6.4
412,1994,05,6.1
413,1994,06,6.1
414,1994,07,6.1
415,1994,08,6.0
416,1994,09,5.9
417,1994,10,5.8
418,1994,11,5.6
419,1994,12,5.5
420,1995,01,5.6
421,1995,02,5.4
422,1995,03,5.4
423,1995,04,5.8
424,1995,05,5.6
425,1995,06,5.6
426,1995,07,5.7
427,1995,08,5.7
428,1995,09,5.6
429,1995,10,5.5
430,1995,11,5.6
431,1995,12,5.6
432,1996,01,5.6
433,1996,02,5.5
434,1996,03,5.5
435,1996,04,5.6
436,1996,05,5.6
437,1996,06,5.3
438,1996,07,5.5
439,1996,08,5.1
440,1996,09,5.2
441,1996,10,5.2
442,1996,11,5.4
443,1996,12,5.4
444,1997,01,5.3
445,1997,02,5.2
446,1997,03,5.2
447,1997,04,5.1
448,1997,05,4.9
449,1997,06,5.0
450,1997,07,4.9
451,1997,08,4.8
452,1997,09,4.9
453,1997,10,4.7
454,1997,11,4.6
455,1997,12,4.7
456,1998,01,4.6
457,1998,02,4.6
458,1998,03,4.7
459,1998,04,4.3
460,1998,05,4.4
461,1998,06,4.5
462,1998,07,4.5
463,1998,08,4.5
464,1998,09,4.6
465,1998,10,4.5
466,1998,11,4.4
467,1998,12,4.4
468,1999,01,4.3
469,1999,02,4.4
470,1999,03,4.2
471,1999,04,4.3
472,1999,05,4.2
473,1999,06,4.3
474,1999,07,4.3
475,1999,08,4.2
476,1999,09,4.2
477,1999,10,4.1
478,1999,11,4.1
479,1999,12,4.0
480,2000,01,4.0
481,2000,02,4.1
482,2000,03,4.0
483,2000,04,3.8
484,2000,05,4.0
485,2000,06,4.0
486,2000,07,4.0
487,2000,08,4.1
488,2000,09,3.9
489,2000,10,3.9
490,2000,11,3.9
491,2000,12,3.9
492,2001,01,4.2
493,2001,02,4.2
494,2001,03,4.3
495,2001,04,4.4
496,2001,05,4.3
497,2001,06,4.5
498,2001,07,4.6
499,2001,08,4.9
500,2001,09,5.0
501,2001,10,5.3
502,2001,11,5.5
503,2001,12,5.7
504,2002,01,5.7
505,2002,02,5.7
506,2002,03,5.7
507,2002,04,5.9
508,2002,05,5.8
509,2002,06,5.8
510,2002,07,5.8
511,2002,08,5.7
512,2002,09,5.7
513,2002,10,5.7
514,2002,11,5.9
515,2002,12,6.0
516,2003,01,5.8
517,2003,02,5.9
518,2003,03,5.9
519,2003,04,6.0
520,2003,05,6.1
521,2003,06,6.3
522,2003,07,6.2
523,2003,08,6.1
524,2003,09,6.1
525,2003,10,6.0
526,2003,11,5.8
527,2003,12,5.7
528,2004,01,5.7
529,2004,02,5.6
530,2004,03,5.8
531,2004,04,5.6
532,2004,05,5.6
533,2004,06,5.6
534,2004,07,5.5
535,2004,08,5.4
536,2004,09,5.4
537,2004,10,5.5
538,2004,11,5.4
539,2004,12,5.4
540,2005,01,5.3
541,2005,02,5.4
542,2005,03,5.2
543,2005,04,5.2
544,2005,05,5.1
545,2005,06,5.0
546,2005,07,5.0
547,2005,08,4.9
548,2005,09,5.0
549,2005,10,5.0
550,2005,11,5.0
551,2005,12,4.9
552,2006,01,4.7
553,2006,02,4.8
554,2006,03,4.7
555,2006,04,4.7
556,2006,05,4.6
557,2006,06,4.6
558,2006,07,4.7
559,2006,08,4.7
560,2006,09,4.5
561,2006,10,4.4
562,2006,11,4.5
563,2006,12,4.4
564,2007,01,4.6
565,2007,02,4.5
566,2007,03,4.4
567,2007,04,4.5
568,2007,05,4.4
569,2007,06,4.6
570,2007,07,4.7
571,2007,08,4.6
572,2007,09,4.7
573,2007,10,4.7
574,2007,11,4.7
575,2007,12,5.0
576,2008,01,5.0
577,2008,02,4.9
578,2008,03,5.1
579,2008,04,5.0
580,2008,05,5.4
581,2008,06,5.6
582,2008,07,5.8
583,2008,08,6.1
584,2008,09,6.1
585,2008,10,6.5
586,2008,11,6.8
587,2008,12,7.3
588,2009,01,7.8
589,2009,02,8.3
590,2009,03,8.7
591,2009,04,9.0
592,2009,05,9.4
593,2009,06,9.5
594,2009,07,9.5
595,2009,08,9.6
596,2009,09,9.8
597,2009,10,10.0
598,2009,11,9.9
599,2009,12,9.9
600,2010,01,9.8
601,2010,02,9.8
602,2010,03,9.9
603,2010,04,9.9
604,2010,05,9.6
605,2010,06,9.4
606,2010,07,9.4
607,2010,08,9.5
608,2010,09,9.5
609,2010,10,9.4
610,2010,11,9.8
611,2010,12,9.3
612,2011,01,9.1
613,2011,02,9.0
614,2011,03,9.0
615,2011,04,9.1
616,2011,05,9.0
617,2011,06,9.1
618,2011,07,9.0
619,2011,08,9.0
620,2011,09,9.0
621,2011,10,8.8
622,2011,11,8.6
623,2011,12,8.5
624,2012,01,8.3
625,2012,02,8.3
626,2012,03,8.2
627,2012,04,8.2
628,2012,05,8.2
629,2012,06,8.2
630,2012,07,8.2
631,2012,08,8.1
632,2012,09,7.8
633,2012,10,7.8
634,2012,11,7.7
635,2012,12,7.9
636,2013,01,8.0
637,2013,02,7.7
638,2013,03,7.5
639,2013,04,7.6
640,2013,05,7.5
641,2013,06,7.5
642,2013,07,7.3
643,2013,08,7.2
644,2013,09,7.2
645,2013,10,7.2
646,2013,11,6.9
647,2013,12,6.7
648,2014,01,6.6
649,2014,02,6.7
650,2014,03,6.7
651,2014,04,6.2
652,2014,05,6.3
653,2014,06,6.1
654,2014,07,6.2
655,2014,08,6.1
656,2014,09,5.9
657,2014,10,5.7
658,2014,11,5.8
659,2014,12,5.6
660,2015,01,5.7
661,2015,02,5.5
662,2015,03,5.4
663,2015,04,5.4
664,2015,05,5.6
665,2015,06,5.3
666,2015,07,5.2
667,2015,08,5.1
668,2015,09,5.0
669,2015,10,5.0
670,2015,11,5.1
671,2015,12,5.0
672,2016,01,4.9
673,2016,02,4.9
674,2016,03,5.0
675,2016,04,5.0
676,2016,05,4.8
677,2016,06,4.9
678,2016,07,4.8
679,2016,08,4.9
680,2016,09,5.0
681,2016,10,4.9
682,2016,11,4.7
683,2016,12,4.7
684,2017,01,4.7
685,2017,02,4.6
686,2017,03,4.4
687,2017,04,4.4
688,2017,05,4.4
689,2017,06,4.3
690,2017,07,4.3
691,2017,08,4.4
692,2017,09,4.2
693,2017,10,4.1
694,2017,11,4.2
695,2017,12,4.1
696,2018,01,4.1
697,2018,02,4.1
698,2018,03,4.0
699,2018,04,4.0
700,2018,05,3.8
701,2018,06,4.0
702,2018,07,3.8
703,2018,08,3.8
704,2018,09,3.7
705,2018,10,3.8
706,2018,11,3.7
707,2018,12,3.9
708,2019,01,4.0
709,2019,02,3.8
710,2019,03,3.8
711,2019,04,3.6
712,2019,05,3.6
713,2019,06,3.7
714,2019,07,3.7
715,2019,08,3.7
716,2019,09,3.5
717,2019,10,3.6
718,2019,11,3.5
719,2019,12,3.5
720,2020,01,3.6
721,2020,02,3.5
722,2020,03,4.4
723,2020,04,14.7
724,2020,05,13.3
725,2020,06,11.1
726,2020,07,
727,2020,08,
728,2020,09,
729,2020,10,
730,2020,11,
731,2020,12,
